,IATA,Description,ID
3534,MMJ,"Matsumoto, Japan: Matsumoto Airport",13390
3535,MMK,"Murmansk, Russia: Murmansk Airport",13391
3536,MML,"Marshall, MN: Southwest Minnesota Regional-Marshall/Ryan Field",13392
3537,MMM,"Middlemount, Australia: Middlemount Airport",13393
3538,MMN,"Stow, MA: Minute Man Air Field",13394
3539,MMP,"Mompos, Colombia: Mompos Airport",13395
3540,MMQ,"Mbala, Zambia: Mbala Airport",13396
3541,MMT,"Columbia, SC: McEntire Jngb",13397
3542,MMU,"Morristown, NJ: Morristown Municipal",13398
3543,MMX,"Malmo, Sweden: Malmo Airport",13399
3544,MMY,"Miyakojima, Japan: Miyako",13400
3545,MN1,"Fosston, MN: Fosston Municipal",13401
3546,MN2,"Moose Lake, MN: Moose Lake Carlton County",13402
3547,MN3,"Ortonville, MN: Ortonville Municipal-Martinson Field",13403
3548,MN4,"Wadena, MN: Wadena Municipal",16469
3549,MN5,"Red Wing, MN: Red Wing Regional",16500
3550,MN6,"Hallock, MN: Hallock Municipal",16589
3551,MN7,"Minneapolis, MN: Anoka County Blaine",16795
3552,MNB,"Moanda, Congo (Kinshasa): Muanda",13404
3553,MNC,"Nacala, Mozambique: Nacala International",13405
3554,MNI,"Montserrat, Montserrat: John A Osborne",13406
3555,MNK,"Maiana, Kiribati: Maiana Airport",13407
3556,MNL,"Manila, Philippines: Ninoy Aquino International",13408
3557,MNM,"Marinette, MI: Menominee-Marinette Twin County",13409
3558,MNN,"Marion, OH: Marion Municipal",13410
3559,MNO,"Manono, Congo (Kinshasa): Manono Airport",13411
3560,MNR,"Mongu, Zambia: Mongu Airport",13413
3561,MNS,"Mansa, Zambia: Mansa Airport",13414
3562,MNT,"Minto, AK: Minto Al Wright",13415
3563,MNU,"Mawlamyine, Burma: Mawlamyine Airport",13416
3564,MNX,"Manicore, Brazil: Manicore Airport",13417
3565,MNZ,"Manassas, VA: Manassas Regional/Harry P. Davis Field",13418
3566,MO1,"Mosby, MO: Midwest National Air Center",13419
3567,MO2,"Washington, MO: Washington Regional",13420
3568,MO3,"Richland, MO: Richland Municipal",16775
3569,MOA,"Moa, Cuba: Orestes Acosta",13421
3570,MOB,"Mobile, AL: Mobile Regional",13422
3571,MOC,"Montes Claros, Brazil: Mario Ribeiro",13423
3572,MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",13424
3573,MOG,"Mong Hsat, Burma: Mong Hsat Airport",13425
3574,MOL,"Molde, Norway: Aro",13426
3575,MOM,"Moudjeria, Mauritania: Moudjeria Ledfotar",13427
3576,MON,"Mount Cook, New Zealand: Mount Cook Airport",13428
3577,MOP,"Mount Pleasant, MI: Mount Pleasant Municipal",13429
3578,MOQ,"Morondava, Madagascar: Morondava Airport",13430
3579,MOR,"Morristown, TN: Moore-Murrell",13431
3580,MOS,"Moses Point, AK: Moses Point Airport",13432
3581,MOT,"Minot, ND: Minot International",13433
3582,MOU,"Mountain Village, AK: Mountain Village Airport",13434
3583,MOV,"Moranbah, Australia: Moranbah Airport",16718
3584,MOW,"Moscow, Russia: Moscow Metropolitan Area",13435
3585,MOY,"Monterrey, Colombia: Monterrey Airport",13437
3586,MOZ,"Moorea Island, French Polynesia: Temae",13438
3587,MPB,"Miami, FL: Watson Island International",13439
3588,MPE,"Madison, CT: Griswold",16501
3589,MPI,"Mamitupo, Panama: Mamitupo Airport",16485
3590,MPJ,"Morrilton, AR: Petit Jean Park",13441
3591,MPK,"Mokpo, South Korea: Mokpo Airport",13442
3592,MPL,"Montpellier, France: Montpellier Mediterranee",13443
3593,MPM,"Maputo, Mozambique: Maputo Airport",13444
3594,MPN,"Mount Pleasant, Falkland Islands (Islas Malvinas): Mount Pleasant Airport",13445
3595,MPO,"Mt. Pocono, PA: Pocono Mountains Municipal",13446
3596,MPR,"McPherson, KS: McPherson Airport",13447
3597,MPS,"Mount Pleasant, TX: Mount Pleasant Municipal",13448
3598,MPT,"Maliana, Timor-Leste: Maliana Airport",13449
3599,MPV,"Montpelier/Barre, VT: Edward F Knapp State",13450
3600,MPX,"Miyanmin, Papua New Guinea: Miyanmin Airport",13451
3601,MQB,"Macomb, IL: Macomb Municipal",13452
3602,MQI,"Quincy, MA: Quincy Airport",16634
3603,MQJ,"Indianapolis, IN: Indianapolis Regional",13453
3604,MQL,"Mildura, Australia: Mildura Airport",13454
3605,MQM,"Mardin, Turkey: Mardin Airport",16631
3606,MQN,"Mo I Rana, Norway: Rossvoll",13455
3607,MQP,"Nelspruit, South Africa: Kruger Mpumalanga International",13456
3608,MQQ,"Moundou, Chad: Moundou Airport",13457
3609,MQS,"Mustique, Saint Vincent and the Grenadines: Mustique Airport",13458
3610,MQT,"Marquette, MI: Sawyer International",13459
3611,MQX,"Mek'ele, Ethiopia: Mek'ele Airport",13460
3612,MQY,"Smyrna, TN: Smyrna Airport",13461
3613,MRA,"Misurata, Libya: Misrata International",13462
3614,MRB,"Martinsburg, WV: Eastern WV Regional/Shepherd Field",13463
3615,MRC,"Columbia, TN: Maury County",13464
3616,MRD,"Merida, Venezuela: Alberto Carnevalli",13465
3617,MRF,"Marfa, TX: Marfa Municipal",16679
3618,MRH,"Morehead City, NC: Beaufort Morehead City",13466
3619,MRI,"Anchorage, AK: Merrill Field",13467
3620,MRK,"Marco Island, FL: Marco Island Airport",13469
3621,MRN,"Morganton, NC: Morganton Lenoir",13470
3622,MRO,"Masterton, New Zealand: Masterton Airport",16446
3623,MRQ,"Marinduque, Philippines: Marinduque Airport",16394
3624,MRS,"Marseille, France: Marseille Provence",13472
3625,MRU,"Mauritius Island, Mauritius: Sir Seewoosagur Ramgoolam International",13473
3626,MRV,"Mineralnyye Vody, Russia: Mineralnyye Vody Airport",13474
3627,MRX,"Margarita Island, Venezuela: Del Caribe International",13475
3628,MRY,"Monterey, CA: Monterey Regional",13476
3629,MRZ,"Moree, Australia: Moree Airport",13477
3630,MS1,"Grenada, MS: Grenada Municipal",13478
3631,MS2,"Picayune, MS: Picayune Municipal",16414
3632,MS3,"Philadelphia, MS: Philadelphia Municipal",16468
3633,MS4,"Batesville, MS: Panola County",16743
3634,MSA,"Muskrat Dam, Canada: Muskrat Dam Airport",13479
3635,MSC,"Mesa, AZ: Falcon Field",13480
3636,MSE,"Manston, United Kingdom: Manston Airport",13481
3637,MSH,"Masirah, Oman: Masirah Airport",13482
3638,MSJ,"Misawa, Japan: Misawa AB",13483
3639,MSL,"Muscle Shoals, AL: Northwest Alabama Regional",13484
3640,MSN,"Madison, WI: Dane County Regional-Truax Field",13485
3641,MSO,"Missoula, MT: Missoula International",13486
3642,MSP,"Minneapolis, MN: Minneapolis-St Paul International",13487
3643,MSQ,"Minsk, Belarus: Minsk 2",13488
3644,MSS,"Massena, NY: Massena International-Richards Field",13490
3645,MST,"Maastricht, Netherlands: Maastricht Aachen",13491
3646,MSU,"Maseru, Lesotho: Moshoeshoe I International",13492
3647,MSV,"Monticello, NY: Sullivan County International",13493
3648,MSW,"Massawa, Eritrea: Massawa International",13494
3649,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",13495
3650,MSZ,"Namibe, Angola: Yuri Gagarin",13496
3651,MT1,"Colstrip, MT: Colstrip Airport",13497
3652,MTC,"Mt. Clemens, MI: Selfridge Angb",13498
3653,MTD,"Mt. Sandford, Australia: Mount Sanford Station",13499
3654,MTE,"Monte Alegre, Brazil: Monte Alegre Airport",13500
3655,MTH,"Marathon, FL: The Florida Keys Marathon International",13501
3656,MTJ,"Montrose/Delta, CO: Montrose Regional",13502
3657,MTL,"Maitland, Australia: Maitland Airport",13503
3658,MTM,"Metlakatla, AK: Metlakatala",13504
3659,MTN,"Baltimore, MD: Martin State",13505
3660,MTO,"Mattoon/Charleston, IL: Coles County Memorial",13506
3661,MTP,"Montauk Point, NY: Sky Portal",13507
3662,MTR,"Monteria, Colombia: Los Garzones",13508
3663,MTS,"Manzini, Swaziland: Matsapha",13509
3664,MTT,"Minatitlan, Mexico: Minatitlan Airport",13510
3665,MTV,"Mota Lava, Vanuatu: Mota Lava Airport",13511
3666,MTW,"Manitowoc, WI: Manitowoc County",13512
3667,MTX,"Fairbanks, AK: Metro Field",13513
3668,MTY,"Monterrey, Mexico: General Mariano Escobedo International",13514
3669,MTZ,"Masada, Israel: Israel Bar Yehuda",13515
3670,MUA,"Munda, Solomon Islands: Munda Airport",13516
3671,MUB,"Maun, Botswana: Maun Airport",13517
3672,MUC,"Munich, Germany: Muenchen",13518
3673,MUE,"Kamuela, HI: Waimea-Kohala",13520
3674,MUG,"Mulege, Mexico: Mulege Airport",13521
3675,MUH,"Mersa Matruh, Egypt: Mersa Matruh Airport",13522
3676,MUL,"Moultrie, GA: Spence",13523
3677,MUN,"Maturin, Venezuela: Jose Tadeo Monagas International",13524
3678,MUO,"Mountain Home, ID: Mountain Home AFB",13525
3679,MUR,"Marudi, Malaysia: Marudi Airport",13526
3680,MUT,"Muscatine, IA: Muscatine Municipal",13527
3681,MUX,"Multan, Pakistan: Multan International",13528
3682,MUZ,"Musoma, Tanzania: Musoma Airport",13530
3683,MVB,"Mvengue, Gabon: Mvengue Airport",13531
3684,MVC,"Monroeville, AL: Monroe County Aeroplex",16527
3685,MVD,"Montevideo, Uruguay: Carrasco International",13532
3686,MVF,"Mossoro, Brazil: Dixsept Rosado",13533
3687,MVJ,"Mandeville, Jamaica: Marlboro",13534
3688,MVL,"Morrisville, VT: Morrisville Stowe State",13535
3689,MVM,"Kayenta, AZ: Kayenta Airport",13536
3690,MVN,"Mount Vernon, IL: Mount Vernon Airport",13537
3691,MVR,"Maroua, Cameroon: Salak",13539
3692,MVW,"Burlington/Mount Vernon, WA: Skagit Regional",13540
3693,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",13541
3694,MVZ,"Masvingo, Zimbabwe: Masvingo International",11788
3695,MWA,"Marion/Herrin, IL: Veterans Airport of Southern Illinois",13543
3696,MWC,"Milwaukee, WI: Lawrence J Timmerman",13544
3697,MWD,"Mianwali, Pakistan: Mianwali Airport",13545
3698,MWH,"Moses Lake, WA: Grant County International",13546
3699,MWL,"Mineral Wells, TX: Mineral Wells Airport",13547
3700,MWM,"Windom, MN: Windom Municipal",13548
3701,MWO,"Middletown, OH: Middletown Regional/Hook Field",13549
3702,MWQ,"Magwe, Burma: Magway",13550
3703,MWX,"Muan, South Korea: Muan International",16462
3704,MWZ,"Mwanza, Tanzania: Mwanza Airport",13551
3705,MXB,"Masamba, Indonesia: Andi Jemma",13552
3706,MXC,"Monticello, UT: Monticello Airport",13553
3707,MXE,"Maxton, NC: Laurinburg-Maxton",13554
3708,MXF,"Montgomery, AL: Maxwell AFB",13555
3709,MXG,"Marlboro, MA: Marlboro Airport",13556
3710,MXH,"Moro, Papua New Guinea: Moro Airport",13557
3711,MXJ,"Minna, Nigeria: Minna Airport",13558
3712,MXL,"Mexicali, Mexico: General Rodolfo Sanchez Taboada International",13559
3713,MXP,"Milan, Italy: Malpensa",13560
3714,MXS,"Maota, Samoa: Maota Airport",13561
3715,MXT,"Maintirano, Madagascar: Maintirano Airport",13562
3716,MXX,"Mora, Sweden: Mora Airport",13563
3717,MXY,"McCarthy, AK: McCarthy Airport",13564
3718,MYA,"Moruya, Australia: Moruya Airport",13565
3719,MYB,"Mayumba, Gabon: Mayumba Airport",13566
3720,MYC,"Maracay, Venezuela: Maracay Airport",13567
3721,MYD,"Malindi, Kenya: Malindi Airport",13568
3722,MYE,"Miyake Jima, Japan: Miyake Jima Airport",13569
3723,MYF,"San Diego, CA: Montgomery Gibbs Executive",13570
3724,MYG,"Mayaguana, The Bahamas: Mayaguana Airport",13571
3725,MYH,"Marble Canyon, AZ: Cliff Dwellers",13572
3726,MYJ,"Matsuyama, Japan: Matsuyama Airport",13573
3727,MYK,"May Creek, AK: May Creek Airport",13574
3728,MYL,"McCall, ID: McCall Municipal",13575
3729,MYP,"Mary, Turkmenistan: Mary Airport",13576
3730,MYR,"Myrtle Beach, SC: Myrtle Beach International",13577
3731,MYT,"Myitkyina, Burma: Myitkyina Airport",13578
3732,MYU,"Mekoryuk, AK: Mekoryuk Airport",13579
3733,MYV,"Marysville, CA: Yuba County",13580
3734,MYW,"Mtwara, Tanzania: Mtwara Airport",13581
3735,MYY,"Miri, Malaysia: Miri Airport",13582
3736,MZB,"Mocimboa Da Praia, Mozambique: Mocimboa Da Praia Airport",13584
3737,MZG,"Makung, Taiwan: Ma Kung AB",13585
3738,MZI,"Mopti, Mali: Ambodedjo",13586
3739,MZJ,"Marana, AZ: Pinal Airpark",13587
3740,MZK,"Marakei, Kiribati: Marakei Airport",13588
3741,MZL,"Manizales, Colombia: La Nubia",13589
3742,MZM,"Metz, France: Metz-Nancy Metz-Frescaty",13590
3743,MZN,"Minj, Papua New Guinea: Minj Airport",13591
3744,MZO,"Manzanillo, Cuba: Sierra Maestra International",13592
3745,MZR,"Mazar-I-Sherif, Afghanistan: Mawlana Jalaluddin Muhammad Balkhi",13593
3746,MZT,"Mazatlan, Mexico: General Rafael Buelna International",13594
3747,MZZ,"Marion, IN: Marion Municipal",13595
3748,N1C,"Cherry Point, NC: Cherry Point MCAS",13697
3749,N1E,"Dirkau, Niger: Dirkou",16786
3750,N1Y,"Canandaigua, NY: Canandaigua Airport",16680
3751,N2C,"Monroe, NC: Charlotte Monroe Executive",16719
3752,N2Y,"Seneca Falls, NY: Finger Lakes Regional",16715
3753,N3C,"Franklin, NC: Macon County",16728
3754,N3Y,"Ticonderoga, NY: Ticonderoga Municipal",16724
3755,N47,"Pottstown, PA: Pottstown Municipal",13596
3756,N4C,"Sanford, NC: Raleigh Exec Jetport at Sanford Lee County",16750
3757,N4Y,"Southampton, NY: Southampton Heliport",16815
3758,N5C,"Whiteville, NC: Columbus County Municipal",16754
3759,N6C,"Siler City, NC: Siler City Municipal",16769
3760,N87,"Robbinsville, NJ: Trenton-Robbinsville",13597
3761,N8K,"Nikisha, AK: McGahan Industrial Park",16818
3762,NAA,"Narrabri, Australia: Narrabri Airport",13598
3763,NAD,"North Adams, MA: Harriman-and-West",13599
3764,NAG,"Nagpur, India: Dr. Baba Saheb Ambedkar International",13600
3765,NAK,"Nakhon Ratchasima, Thailand: Nakhon Ratchasima Airport",13601
3766,NAN,"Nadi, Fiji: Nadi International",13602
3767,NAO,"Nanchong, China: Nanchong Airport",13603
3768,NAP,"Naples, Italy: Capodichino",13604
3769,NAS,"Nassau, The Bahamas: Lynden Pindling International",13605
3770,NAT,"Natal, Brazil: Augusto Severo",13606
3771,NAU,"Napuka Islnd, French Polynesia: Napuka",13607
3772,NAV,"Nevsehir, Turkey: Nevsehir Airport",16413
3773,NAZ,"Star Harbour, Solomon Islands: Nana",13609
3774,NB1,"St Stephen, Canada: St Stephen Airport",16587
3775,NBA,"Nambaiyufa, Papua New Guinea: Nambaiyufa Airport",13610
3776,NBC,"Naberevnye Chelny, Russia: Begishevo",13611
3777,NBG,"New Orleans, LA: New Orleans NAS JRB",13612
3778,NBJ,"Newburgh, NY: Newburgh Airport",13613
3779,NBO,"Nairobi, Kenya: Nairobi Jomo Kenyatta International",13616
3780,NBU,"Glenview, IL: Glenview NAS",13617
3781,NBW,"Guantanamo, Cuba: Guantanamo Bay NS",13618
3782,NC1,"Gastonia, NC: Gastonia Municipal",13619
3783,NC2,"Smithfield, NC: Johnston Regional",13620
3784,NC3,"Shelby, NC: Shelby-Cleveland County Regional",13621
3785,NC4,"Currituck, NC: Currituck County Regional",13622
3786,NC5,"Kenansville, NC: Duplin County",13623
3787,NC6,"Oxford, NC: Henderson Oxford",16502
3788,NC7,"Beaufort, NC: Michael J. Smith Field",16510
3789,NC8,"Burlington, NC: Burlington Alamance Regional",16552
3790,NC9,"Rockingham, NC: Richmond County",16640
3791,NCA,"North Caicos, Turks and Caicos Islands: North Caicos International",13624
3792,NCE,"Nice, France: Nice Cote D Azur",13625
3793,NCH,"Nachingwea, Tanzania: Nachingwea Airport",13626
3794,NCI,"Necocli, Colombia: Necocli Airport",13627
3795,NCL,"Newcastle, United Kingdom: Newcastle Airport",13628
3796,NCN,"Chenega, AK: Chenega Bay",13629
3797,NCO,"North Kingstown, RI: Quonset State Air Reserve National Guard Helipad",13630
3798,NCP,"Subic Bay, Philippines: Cubi Point NAS",13631
3799,NCS,"Newcastle, South Africa: Newcastle Airport",13633
3800,NCT,"Nicoya, Costa Rica: Miguel Angel Castillo Zumbado",13634
3801,NCU,"Nukus, Uzbekistan: Nukus Airport",13635
3802,NCY,"Annecy, France: Annecy Meythet",13636
3803,ND1,"Kindred, ND: Robert Odegaard Field",13637
3804,NDB,"Nouadhibou, Mauritania: Nouadhibou Airport",13638
3805,NDC,"Nanded, India: Nanded Airport",13639
3806,NDJ,"Ndjamena, Chad: Hassan Djamous",13641
3807,NDL,"Ndele, Central African Republic: Ndele Airport",13642
3808,NDR,"Nador, Morocco: El Aroui International",13643
3809,NDZ,"Cuxhaven, Germany: Nordholz-Spieka",13644
3810,NE1,"Gothenburg, NE: Gothenburg Municipal",13645
3811,NE2,"Blair, NE: Blair Municipal",13646
3812,NE3,"York, NE: York Municipal",16661
3813,NE4,"Champion, NE: Smith Field",16805
3814,NEA,"Brunswick, GA: Glynco NAS",13647
3815,NEG,"Negril, Jamaica: Negril Airport",13648
3816,NEL,"Lakehurst, NJ: Lakehurst/Maxfield Field",13650
3817,NER,"Neryungri, Russia: Neryungri Airport",13651
3818,NEU,"Sam Neua, Laos: Samneua",13653
3819,NEV,"Nevis, Saint Kitts and Nevis: Vance Winkworth Amory",13654
3820,NEW,"New Orleans, LA: Lakefront",13655
3821,NFL,"Fallon, NV: Fallon NAS",13656
3822,NGA,"Young, Australia: Young Airport",13657
3823,NGB,"Ningbo, China: Lishe",13658
3824,NGC,"Grand Canyon, AZ: North Rim",13659
3825,NGD,"Anegada, British Virgin Islands: Auguste George",13660
3826,NGE,"N'Gaoundere, Cameroon: N'Gaoundere Airport",13661
3827,NGF,"Kaneohe, HI: Kaneohe Bay MCAS",13662
3828,NGM,"Guam, TT: Agana NAS",13663
3829,NGO,"Nagoya, Japan: Chubu Centrair International",13694
3830,NGP,"Corpus Christi, TX: Corpus Christi NAS",13665
3831,NGS,"Nagasaki, Japan: Nagasaki Airport",13666
3832,NGU,"Norfolk, VA: Norfolk NS",13667
3833,NGZ,"Alameda, CA: Alameda NAS",13668
3834,NH1,"Hampton, NH: Hampton Airfield",16548
3835,NH2,"Gorham, NH: Gorham Airport",16730
3836,NH3,"Haverhill, NH: Dean Memorial",16731
3837,NH4,"Moultonboro, NH: Moultonboro Airport",16813
3838,NHA,"Nha-Trang, Vietnam: Nha Trang",13669
3839,NHD,"Dubai, United Arab Emirates: Minhad AB",13670
3840,NHK,"Patuxent River, MD: Patuxent River NAS",13671
3841,NHT,"Northolt, United Kingdom: RAF Northolt",13672
3842,NHV,"Nuku Hiva, French Polynesia: Nuku Hiva Fr.Poly.",13673
3843,NHZ,"Brunswick, ME: Brunswick Executive",13674
3844,NIA,"Nimba, Liberia: Nimba Airport",13675
3845,NIB,"Nikolai, AK: Nikolai Airport",13676
3846,NIC,"Nicosia, Cyprus: Nicosia Airport",13677
3847,NIE,"Niblack, AK: Niblack Airport",13678
3848,NIG,"Nikunau, Kiribati: Nikunau Airport",13679
3849,NIM,"Niamey, Niger: Diori Hamani",13680
3850,NIN,"Ninilchik, AK: Ninilchik Airport",13681
3851,NIP,"Jacksonville, FL: Jacksonville NAS",13682
3852,NIS,"Simberi Island, Papua New Guinea: Simberi",16544
3853,NIT,"Niort, France: Niort Airport",13683
3854,NIX,"Nioro, Mali: Nioro Airport",13684
3855,NJ1,"Berlin, NJ: Camden County",13685
3856,NJ2,"West Creek, NJ: Eagles Nest",13686
3857,NJ3,"Somerville, NJ: Somerset",14899
3858,NJ4,"Ocean City, NJ: Ocean City Municipal",16568
3859,NJ5,"Sussex, NJ: Sussex Airport",16585
3860,NJ6,"Lumberton, NJ: Flying W",16625
3861,NJ7,"New Jersey, NJ: Old Bridge",16727
3862,NJ8,"West Milford, NJ: Greenwood Lake",16792
3863,NJA,"Atsugi, Japan: Atsugi NAF",13687
3864,NJC,"Nizhnevartovsk, Russia: Nizhnevartovsk Airport",13688
3865,NJF,"Al Najaf, Iraq: Al Najaf International",16578
3866,NJK,"El Centro, CA: El Centro NAF",13689
3867,NKA,"Nkan, Gabon: Nkan Airport",13690
3868,NKC,"Nouakchott, Mauritania: Nouakchott Airport",13691
3869,NKG,"Nanjing, China: Lukou",13692
3870,NKI,"Naukiti, AK: Naukiti Airport",13693
3871,NKM,"Nagoya, Japan: Nagoya Airport",13664
3872,NKN,"Nankina, Papua New Guinea: Nankina Airport",13695
3873,NKS,"Nkongsamba, Cameroon: Nkongsamba Airport",13696
3874,NKT,"Sirnak, Turkey: Serafettin Elci",16676
3875,NKV,"Nichen Cove, AK: Nichin Cove Seaplane Base",13698
3876,NKW,"Diego Garcia, British Indian Ocean Territory: Diego Garcia Nsf",13699
3877,NKX,"San Diego, CA: Miramar MCAS",13700
3878,NL1,"Fogo, Canada: Fogo Airport",16808
3879,NLA,"Ndola, Zambia: Ndola Airport",13701
3880,NLC,"Lemoore, CA: Lemoore NAS",13702
3881,NLD,"Nuevo Laredo, Mexico: Quetzalcoatl International",13703
3882,NLG,"Nelson Lagoon, AK: Nelson Lagoon Airport",13704
3883,NLK,"Norfolk Island, Australia: Norfolk Island Airport",13705
3884,NLO,"Kinshasa, Congo (Kinshasa): N'Dolo",13706
3885,NLP,"Nelspruit, South Africa: Nelspruit Airport",13707
3886,NLS,"Nicholson, Australia: Nicholson Station",13708
3887,NM1,"Belen, NM: Belen Municipal",16635
3888,NMC,"Norman's Cay, The Bahamas: Norman's Cay Airport",13709
3889,NME,"Nightmute, AK: Nightmute Airport",13710
3890,NMG,"San Miguel, Panama: San Miguel Airport",13711
3891,NNA,"Kenitra, Morocco: Kenitra Airport",13712
3892,NNG,"Nanning, China: Wuxu",13713
3893,NNK,"Naknek, AK: Naknek Airport",13714
3894,NNL,"Nondalton, AK: Nondalton Airport",13715
3895,NNU,"Nanuque, Brazil: Nanuque Airport",13716
3896,NNY,"Nanyang, China: Nanyang East",13717
3897,NOA,"Nowra, Australia: Nowra Airport",13718
3898,NOC,"Connaught, Ireland: Ireland West Airport Knock",13719
3899,NOG,"Nogales, Mexico: Nogales International",13720
3900,NON,"Nonouti, Kiribati: Nonouti Airport",13721
3901,NOP,"Mactan Island, Philippines: Nab",13722
3902,NOR,"Nordfjordur, Iceland: Nordfjordur Airport",13723
3903,NOS,"Nossi-Be, Madagascar: Fascene",13724
3904,NOT,"Novato, CA: Gnoss Field",13725
3905,NOU,"Noumea, New Caledonia: Noumea La Tontouta",13726
3906,NOV,"Huambo, Angola: Huambo Airport",13727
3907,NPA,"Pensacola, FL: Pensacola NAS",13728
3908,NPE,"Napier, New Zealand: Napier Airport",13729
3909,NPL,"New Plymouth, New Zealand: New Plymouth Airport",13730
3910,NPT,"Newport, RI: Newport State",13731
3911,NQA,"Millington, TN: Millington Regional Jetport",13732
3912,NQI,"Kingsville, TX: Kingsville NAS",13733
3913,NQN,"Neuquen, Argentina: Presidente Peron",13734
3914,NQX,"Key West, FL: Key West NAS",13736
3915,NQY,"Newquay, United Kingdom: Newquay Airport",13737
3916,NRA,"Narrandera, Australia: Narrandera Airport",13738
3917,NRB,"Mayport, FL: Mayport NS",13739
3918,NRI,"Afton, OK: Grand Lake Regional",13740
3919,NRK,"Norrkoping, Sweden: Kungsangen",13741
3920,NRL,"North Ronaldsay, United Kingdom: North Ronaldsay Airport",13742
3921,NRR,"Ceiba, PR: Roosevelt Roads NAS",13743
3922,NRT,"Tokyo, Japan: Narita International",13744
3923,NSA,"Noosa, Australia: Noosa Aust.",13745
3924,NSB,"Bimini, The Bahamas: North Seaplane Base",13746
3925,NSE,"Milton, FL: Whiting Field NAS North",13747
3926,NSI,"Yaounde, Cameroon: Yaounde Nsimalen",13749
3927,NSL,"Merritt Island, FL: NASA Shuttle Landing Facility",13750
3928,NSN,"Nelson, New Zealand: Nelson Airport",13751
3929,NSO,"Scone, Australia: Scone Airport",13752
3930,NST,"Nakhon Si Thammarat, Thailand: Nakhon Si Thammarat Airport",13753
3931,NSY,"Sigonella, Italy: Sigonella Airport",13754
3932,NT1,"Snap Lake, Canada: Snap Lake Mine/Debeers",13755
3933,NT2,"Colomac, Canada: Colomac Airport",16513
3934,NT3,"Gahcho, Canada: Gahcho Kue",16677
3935,NTD,"Port Hueneme, CA: Point Mugu NAS",13756
3936,NTE,"Nantes, France: Nantes Atlantique",13757
3937,NTL,"Newcastle, Australia: Williamtown",13758
3938,NTN,"Normanton, Australia: Normanton Airport",13759
3939,NTO,"Santo Antao, Cape Verde: Santo Antao Airport",13760
3940,NTQ,"Wajima, Japan: Noto",13761
3941,NTR,"Monterrey, Mexico: Del Norte International",13762
3942,NTU,"Oceana, VA: Oceana NAS",13763
3943,NTY,"Sun City, South Africa: Pilanesberg International",13764
3944,NU1,"Doris Lake, Canada: Doris Lake Airport",16707
3945,NU2,"Hope Bay, Canada: Hope Bay Airport",16717
3946,NU3,"Jericho, Canada: Jericho Mine",16726
3947,NU4,"Meadowbank Nunavut, Canada: Meadowbank",16734
3948,NU5,"Goose Lake, Canada: Goose Lake Airport",16794
3949,NU6,"Seaice, Canada: Seaice15",16800
3950,NUE,"Nuremberg, Germany: Nuernberg",13765
3951,NUG,"Nuguria, Papua New Guinea: Nuguria Airport",13766
3952,NUI,"Nuiqsut, AK: Nuiqsut Airport",13767
3953,NUL,"Nulato, AK: Nulato Airport",13768
3954,NUN,"Pensacola, FL: Saufley Field NOLF",13769
3955,NUP,"Nunapitchuk, AK: Nunapitchuk Airport",13770
3956,NUQ,"Mountain View, CA: Moffett Federal Airfield",13771
3957,NUW,"Whidbey Island, WA: Whidbey Island NAS",13772
3958,NV1,"Overton, NV: Perkins Field",13773
3959,NV2,"Jean, NV: Jean Airport",16566
3960,NV3,"Searchlight, NV: Searchlight Airport",16572
3961,NV4,"Reno, NV: Reno Stead",16711
3962,NV5,"Gerlach, NV: Black Rock City",16725
3963,NV6,"Pahrump, NV: Calvada Meadows",16817
3964,NVA,"Neiva, Colombia: Benito Salas",13774
3965,NVD,"Nevada, MO: Nevada Municipal",13775
3966,NVI,"Navoi, Uzbekistan: Navoi Airport",16464
3967,NVK,"Narvik, Norway: Narvik Airport",13776
3968,NVT,"Navegantes, Brazil: Ministro Victor Konder International",13777
3969,NWI,"Norwich, United Kingdom: Norwich Airport",13778
3970,NXX,"Willow Grove, PA: Willow Grove NAS JRB",13780
3971,NY1,"Kingston, NY: Kingston Ulster",13781
3972,NY2,"Fulton, NY: Oswego County",13782
3973,NY3,"Brockport, NY: Ledgedale Airpark",16704
3974,NY4,"Potsdam, NY: Potsdam Municipal Damon Field",16425
3975,NY5,"Millbrook, NY: Sky Acres",16442
3976,NY6,"Johnstown, NY: Fulton County",16499
3977,NY7,"Skaneateles, NY: Skaneateles Aero Drome",16498
3978,NY8,"Mattituck, NY: Mattituck Airport",16512
3979,NY9,"Hornell, NY: Hornell Municipal",16569
3980,NYC,"New York, NY: New York City Metropolitan Area",13784
3981,NYL,"Yuma, AZ: Yuma MCAS/Yuma International",13785
3982,NYL,"Yuma, AZ: Yuma MCAS/Yuma International",16218
3983,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",13785
3984,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",16218
3985,NYO,"Nykoping, Sweden: Skavsta",13786
3986,NYT,"Naypyitaw, Burma: Naypyitaw International",16648
3987,NYU,"Nyaung-U, Burma: Bagan",13787
3988,NZJ,"Santa Ana, CA: El Toro MCAS",13789
3989,NZW,"South Weymouth, MA: South Weymouth NAS",13790
